Username,User ID,Set URL,Slug,Language,Name,Type,Count,Date Created,Date Updated,Description,_ - userSet - setItems - _ - image - parentObjectNumber 1,_ - userSet - setItems - _ - image - parentObjectNumber 2,_ - userSet - setItems - _ - image - parentObjectNumber 3,_ - userSet - setItems - _ - image - parentObjectNumber 4,_ - userSet - setItems - _ - image - parentObjectNumber 5,_ - userSet - setItems - _ - image - parentObjectNumber 6,_ - userSet - setItems - _ - image - parentObjectNumber 7,_ - userSet - setItems - _ - image - parentObjectNumber 8,_ - userSet - setItems - _ - image - parentObjectNumber 9,_ - userSet - setItems - _ - image - parentObjectNumber 10,_ - userSet - setItems - _ - image - parentObjectNumber 11,_ - userSet - setItems - _ - image - parentObjectNumber 12,_ - userSet - setItems - _ - image - parentObjectNumber 13,_ - userSet - setItems - _ - image - parentObjectNumber 14,_ - userSet - setItems - _ - image - parentObjectNumber 15,_ - userSet - setItems - _ - image - parentObjectNumber 16,_ - userSet - setItems - _ - image - parentObjectNumber 17,_ - userSet - setItems - _ - image - parentObjectNumber 18,_ - userSet - setItems - _ - image - parentObjectNumber 19,_ - userSet - setItems - _ - image - parentObjectNumber 20,_ - userSet - setItems - _ - image - parentObjectNumber 21,_ - userSet - setItems - _ - image - parentObjectNumber 22,_ - userSet - setItems - _ - image - parentObjectNumber 23,_ - userSet - setItems - _ - image - parentObjectNumber 24,_ - userSet - setItems - _ - image - parentObjectNumber 25,User Initials
Ocarine,1774320,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1774320--ocarine/food,food,en,Food,Default,57,2017-10-29T15:08:35.0077565Z,2018-02-19T05:22:46.4782807Z,,,,,,,,,,,,,,,,,,,,,,,,,,,O
,,,,,,,,,,,SK-A-2554,SK-C-301,SK-A-1789,SK-C-95,SK-A-1496,SK-A-501,SK-A-4062,SK-C-1120,SK-C-1120,SK-A-335,SK-A-1717,RP-P-1906-871,SK-A-839,SK-A-365,SK-C-1466,BK-2013-8-2,SK-A-3279,SK-C-296,SK-A-1309,SK-A-3990,SK-A-3990,SK-C-294,SK-A-1717,SK-A-3119,SK-A-2693,
Ocarine,1774320,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1774320--ocarine/jewelry,jewelry,en,Jewelry,Default,105,2017-10-20T19:53:51.2381559Z,2018-01-20T16:40:27.9154092Z,,,,,,,,,,,,,,,,,,,,,,,,,,,O
,,,,,,,,,,,SK-A-1288,SK-A-3225,SK-A-1545,SK-A-2072,SK-A-970,SK-C-131,SK-A-1216,SK-A-1311,RP-F-2000-11-229,RP-T-1918-307,SK-A-183,SK-A-2941,SK-A-4989,SK-C-281,SK-A-5013,SK-A-5013,SK-A-4135,SK-A-268,RP-T-FM-61,SK-A-3899,SK-A-2102,RP-T-1918-116,RP-T-1882-A-176,SK-A-4646,SK-C-296,
Ocarine,1774320,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1774320--ocarine/flowers,flowers,en,Flowers,Default,75,2017-10-21T10:37:30.1492997Z,2018-02-18T03:56:19.3683421Z,,,,,,,,,,,,,,,,,,,,,,,,,,,O
,,,,,,,,,,,SK-A-4127,SK-A-4212,RP-T-1968-230,SK-A-965,SK-A-965,SK-A-3456,SK-A-1073,SK-A-2274,SK-A-3743,SK-A-296,SK-A-1089,SK-C-237,SK-A-2099,SK-A-1624,SK-A-1624,SK-C-237,SK-A-1015,SK-A-1075,SK-A-2388,SK-A-2388,SK-A-3254,SK-C-299,SK-A-1732,SK-A-717,SK-A-717,
Ocarine,1774320,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1774320--ocarine/vegetables,vegetables,en,Vegetables,Default,22,2017-10-29T16:49:00.6873676Z,2018-01-20T16:32:22.6393137Z,,,,,,,,,,,,,,,,,,,,,,,,,,,O
,,,,,,,,,,,SK-A-2058,SK-A-2058,SK-A-5039,SK-A-1574,SK-A-4646,SK-A-2549,SK-A-2274,SK-A-2011,SK-A-2332,SK-A-199,SK-C-2,SK-C-2,SK-A-1754,SK-A-1537,SK-A-1537,RP-T-1899-A-4261,RP-P-1951-23C,RP-P-1961-505,RP-T-FM-105,RP-T-1921-421,RP-P-OB-201.436,RP-T-1900-A-4433,RP-T-1964-313,RP-T-1884-A-330E,RP-T-1892-A-2565,
Ocarine,1774320,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/1774320--ocarine/pewter-silver,pewter-silver,en,Pewter & Silver,Default,13,2017-10-23T16:10:01.0098707Z,2018-01-20T16:28:23.3119561Z,,,,,,,,,,,,,,,,,,,,,,,,,,,O
Małgorzata Kałuża,2066577,https://www.rijksmuseum.nl/nl/mijn/verzamelingen/2066577--malgorzata-kaluza/animals,animals,nl,Animals,Default,14,2018-01-20T08:02:22.134131Z,2018-01-23T11:25:14.3005812Z,,,,,,,,,,,,,,,,,,,,,,,,,,,MK
